hour,original_price,new_price
1,170.28,30.24
2,155.72,17.728
3,147.09,7.084
4,91.0,-0.0
5,104.0,-0.0
6,140.6,1.596
7,147.09,2.186
8,99.99,-0.0
9,67.99,-0.0
10,95.0,0.0
11,135.8,11.906
12,150.7,23.361
13,155.72,26.248
14,147.09,20.143
15,100.0,14.445
16,155.0,25.847
17,169.78,36.952
18,203.1,39.863
19,205.83,39.863
20,214.66,39.863
21,214.66,39.863
22,203.0,39.863
23,180.0,35.656
24,162.44,25.648
25,155.72,14.419
26,142.85,5.17
27,140.6,0.743
28,100.0,-0.0
29,140.6,0.0
30,141.93,1.783
31,147.09,6.913
32,155.72,15.441
33,152.59,25.934
34,155.72,35.581
35,167.98,45.084
36,175.08,52.147
37,189.58,54.232
38,169.69,48.592
39,155.72,44.69
40,167.75,49.948
41,194.21,59.68
42,245.0,63.862
43,225.19,63.862
44,216.29,63.862
45,199.64,53.943
46,178.41,36.57
47,154.44,18.244
48,144.79,5.648
49,127.0,-0.0
50,127.0,-0.0
51,84.62,-0.0
52,83.27,-0.0
53,85.0,-0.0
54,84.5,-0.0
55,164.46,18.631
56,202.03,48.07
57,212.0,75.934
58,232.0,93.412
59,239.51,95.893
60,212.22,85.491
61,202.03,76.066
62,199.89,76.343
63,207.16,89.146
64,265.0,108.979
65,270.0,116.493
66,300.0,116.493
67,300.0,116.493
68,275.0,109.838
69,221.16,81.968
70,199.08,51.619
71,170.0,26.33
72,161.01,10.716
73,150.55,2.672
74,140.6,-0.0
75,113.29,-0.0
76,105.81,-0.0
77,105.0,-0.0
78,120.0,-0.0
79,156.91,13.424
80,182.64,35.104
81,200.0,54.972
82,192.8,62.117
83,189.88,60.792
84,182.42,56.074
85,182.46,52.266
86,179.59,50.154
87,179.0,50.858
88,180.93,55.074
89,192.27,61.777
90,201.21,65.938
91,197.19,63.16
92,190.35,51.155
93,170.84,31.803
94,161.3,16.319
95,156.8,6.57
96,145.6,1.026
97,142.6,-0.0
98,105.1,-0.0
99,84.5,-0.0
100,75.38,-0.0
101,79.11,-0.0
102,94.79,-0.0
103,181.41,22.334
104,215.98,51.426
105,218.95,74.062
106,226.52,84.872
107,224.45,85.179
108,217.92,79.764
109,205.0,74.488
110,214.9,75.175
111,217.92,79.97
112,226.52,88.553
113,226.52,100.36
114,265.0,114.606
115,265.0,118.472
116,265.0,111.341
117,241.93,90.606
118,218.95,69.129
119,207.46,54.382
120,200.0,46.943
121,207.15,43.757
122,195.0,38.115
123,189.44,31.062
124,180.7,24.9
125,170.1,24.671
126,194.38,35.584
127,204.22,52.64
128,228.25,74.007
129,236.23,93.794
130,247.1,104.722
131,245.24,104.835
132,231.9,97.44
133,226.0,89.138
134,220.0,83.873
135,216.06,85.343
136,230.77,96.256
137,245.95,112.928
138,274.11,129.073
139,273.44,134.317
140,278.36,126.21
141,251.71,104.31
142,229.96,83.212
143,227.46,69.28
144,212.02,59.989
145,213.47,55.362
146,208.63,51.818
147,204.35,48.755
148,203.91,47.26
149,202.54,48.881
150,205.17,56.693
151,229.22,72.302
152,240.0,90.662
153,254.19,108.519
154,257.24,116.829
155,254.18,115.611
156,241.22,108.69
157,240.2,101.852
158,229.53,96.808
159,233.49,97.009
160,237.08,102.025
161,239.0,111.296
162,266.86,122.714
163,270.0,125.266
164,257.2,115.481
165,244.41,98.015
166,236.04,82.634
167,229.0,70.375
168,207.49,60.551
169,218.33,55.972
170,211.23,51.26
171,201.9,46.172
172,201.0,43.207
173,201.0,43.369
174,201.0,48.229
175,215.43,59.766
176,228.77,75.504
177,238.11,91.407
178,239.0,99.479
179,242.93,99.724
180,231.02,92.966
181,223.33,84.527
182,215.72,79.083
183,215.49,81.407
184,230.0,94.209
185,242.67,115.574
186,290.0,140.678
187,300.0,153.087
188,294.96,146.985
189,283.0,124.767
190,241.77,98.099
191,233.56,79.655
192,227.0,68.557
193,215.0,60.605
194,204.01,52.819
195,197.61,45.11
196,191.0,37.081
197,182.0,29.33
198,172.0,24.874
199,176.33,27.898
200,187.66,38.213
201,190.66,52.556
202,194.36,65.614
203,215.0,77.193
204,218.9,82.868
205,218.34,83.039
206,210.47,81.156
207,213.06,82.993
208,223.35,90.653
209,225.55,103.328
210,257.35,119.928
211,269.6,128.6
212,269.36,121.935
213,242.08,100.544
214,222.8,79.48
215,218.34,63.833
216,203.8,50.51
217,196.23,39.422
218,191.85,32.271
219,195.91,27.631
220,186.66,23.722
221,178.04,27.111
222,192.15,47.365
223,237.44,85.048
224,299.95,125.577
225,304.35,146.824
226,297.74,141.1
227,239.44,116.833
228,230.2,97.674
229,232.89,88.469
230,225.0,85.178
231,230.2,86.77
232,232.89,90.622
233,235.2,96.129
234,240.0,103.543
235,248.5,110.769
236,279.7,110.761
237,239.44,92.789
238,231.89,73.65
239,215.33,56.858
240,198.93,44.235
241,193.01,36.137
242,181.0,27.684
243,170.47,20.01
244,167.27,16.707
245,167.27,20.971
246,177.43,35.701
247,209.83,59.241
248,239.88,80.803
249,233.77,89.335
250,215.16,82.001
251,193.01,68.065
252,187.0,57.61
253,187.0,53.332
254,187.0,54.977
255,193.01,63.627
256,206.0,80.046
257,229.77,102.049
258,268.75,121.064
259,256.88,123.907
260,255.0,112.742
261,232.46,90.367
262,215.28,69.506
263,204.81,54.114
264,193.01,43.066
265,196.65,35.073
266,187.1,27.933
267,184.27,22.488
268,178.88,20.219
269,178.33,25.859
270,193.5,44.268
271,236.76,74.249
272,248.74,105.304
273,300.0,130.916
274,279.91,129.476
275,242.53,108.446
276,213.99,85.714
277,212.99,73.24
278,210.0,71.251
279,213.99,79.716
280,240.01,97.343
281,248.74,117.101
282,284.82,134.621
283,285.97,137.161
284,269.03,122.167
285,246.9,95.885
286,222.79,71.418
287,213.64,54.348
288,200.22,43.103
289,192.24,36.867
290,188.72,33.415
291,187.87,31.733
292,186.57,31.95
293,188.0,36.176
294,198.24,46.976
295,212.18,64.582
296,236.26,86.33
297,252.39,102.993
298,253.1,101.113
299,212.7,80.991
300,185.22,59.275
301,180.0,48.68
302,180.0,52.232
303,210.7,68.634
304,221.65,88.717
305,243.44,109.742
306,266.3,126.261
307,274.0,130.888
308,262.95,120.634
309,246.27,99.987
310,230.1,80.107
311,217.03,64.28
312,207.99,51.624
313,200.0,39.846
314,180.02,28.862
315,180.0,23.003
316,179.92,22.03
317,180.0,26.963
318,189.91,40.98
319,208.0,64.562
320,259.24,91.387
321,259.85,102.839
322,230.0,92.417
323,200.0,73.422
324,192.99,59.523
325,192.99,53.757
326,190.0,55.414
327,200.0,65.803
328,220.0,83.61
329,238.05,104.502
330,262.0,123.326
331,280.67,131.261
332,269.0,120.948
333,243.07,97.227
334,225.61,75.774
335,216.68,62.376
336,205.0,56.924
337,222.01,57.875
338,214.92,56.031
339,209.61,50.492
340,196.7,43.408
341,193.04,40.213
342,195.05,43.79
343,210.0,54.018
344,217.21,66.193
345,223.76,75.759
346,218.39,73.337
347,198.0,60.234
348,175.01,45.492
349,175.01,38.603
350,174.57,41.262
351,189.1,54.255
352,213.98,74.358
353,226.32,95.876
354,260.0,115.42
355,267.03,122.73
356,261.41,114.81
357,243.62,95.644
358,227.85,78.505
359,222.66,68.801
360,217.0,65.448
361,225.92,65.383
362,216.0,61.256
363,207.62,53.468
364,197.22,44.374
365,186.7,37.692
366,186.6,37.195
367,198.01,42.878
368,200.03,51.348
369,200.0,61.561
370,204.86,68.359
371,204.5,70.761
372,204.43,70.017
373,205.21,66.847
374,195.02,62.118
375,191.9,60.791
376,196.92,66.46
377,213.05,79.56
378,222.87,96.721
379,257.45,113.794
380,265.36,118.509
381,257.13,107.986
382,241.9,91.929
383,228.52,76.396
384,206.0,64.626
385,229.0,59.196
386,211.8,51.264
387,199.82,43.585
388,197.7,41.232
389,200.0,47.303
390,222.78,63.154
391,237.3,84.621
392,258.9,108.957
393,290.0,127.879
394,274.51,124.834
395,240.0,105.7
396,216.94,86.337
397,215.0,77.216
398,213.69,79.718
399,232.47,93.317
400,256.99,111.768
401,264.73,128.288
402,276.49,141.623
403,299.03,147.27
404,288.69,135.903
405,260.0,110.265
406,233.77,86.191
407,230.13,71.042
408,218.85,61.543
409,213.9,55.295
410,203.27,48.994
411,200.48,43.716
412,194.52,40.589
413,193.99,43.279
414,205.0,55.161
415,219.51,76.095
416,261.32,101.558
417,270.51,116.213
418,251.63,110.266
419,219.51,92.513
420,207.65,77.412
421,207.65,70.717
422,206.01,72.714
423,210.99,84.92
424,249.22,106.444
425,260.0,126.762
426,278.0,142.422
427,294.36,147.508
428,278.41,135.975
429,259.29,112.932
430,240.0,90.216
431,225.84,71.799
432,213.54,57.213
433,199.46,45.808
434,197.0,39.037
435,195.0,35.043
436,193.91,32.976
437,188.7,34.982
438,195.36,47.185
439,212.51,72.465
440,275.44,104.921
441,280.83,121.738
442,256.57,113.659
443,221.75,92.083
444,204.8,72.88
445,201.0,63.151
446,201.0,63.48
447,205.0,73.861
448,235.31,93.372
449,250.0,113.791
450,270.0,130.395
451,282.7,136.232
452,273.89,125.52
453,254.21,100.504
454,222.26,73.365
455,208.8,53.027
456,191.09,40.354
457,191.78,35.022
458,185.18,30.485
459,179.53,25.265
460,171.43,20.884
461,168.18,21.44
462,181.5,29.884
463,192.0,44.212
464,205.0,62.349
465,232.87,78.311
466,213.25,77.075
467,193.99,65.007
468,185.0,51.477
469,170.76,41.665
470,169.53,41.105
471,185.0,51.257
472,197.99,68.831
473,223.0,91.112
474,248.51,111.372
475,265.0,121.6
476,265.45,117.75
477,245.0,97.911
478,220.56,74.697
479,202.4,56.12
480,196.8,44.364
481,197.6,36.198
482,187.0,29.138
483,183.14,24.245
484,182.07,22.585
485,182.3,26.262
486,189.52,39.011
487,211.68,62.744
488,253.84,92.03
489,263.75,112.514
490,261.98,113.794
491,242.24,97.372
492,197.97,73.597
493,195.85,58.353
494,193.08,52.558
495,193.08,55.297
496,201.21,66.836
497,220.0,85.892
498,249.43,106.218
499,266.0,116.34
500,260.29,108.663
501,233.1,85.913
502,221.97,63.109
503,195.05,44.603
504,187.0,35.748
505,198.3,34.49
506,189.2,32.168
507,187.21,28.189
508,178.72,23.252
509,176.04,21.331
510,176.35,26.124
511,190.29,40.299
512,213.65,61.004
513,233.83,79.636
514,220.31,84.496
515,217.6,80.856
516,209.66,72.581
517,201.0,63.057
518,189.13,55.527
519,189.99,53.957
520,196.5,58.693
521,197.0,68.891
522,222.31,84.292
523,240.0,95.527
524,245.27,94.021
525,227.75,78.448
526,211.88,61.512
527,202.1,49.475
528,197.0,43.224
529,197.14,40.531
530,190.0,37.196
531,187.98,33.232
532,179.73,29.055
533,179.04,27.427
534,179.49,29.387
535,189.89,35.186
536,189.99,42.78
537,190.0,52.428
538,195.31,59.198
539,195.34,61.852
540,195.87,61.386
541,195.41,58.402
542,186.29,54.11
543,184.49,52.847
544,190.0,57.252
545,194.0,67.728
546,214.95,83.548
547,239.49,96.376
548,244.31,95.402
549,224.96,79.049
550,204.84,60.771
551,201.0,47.531
552,187.68,37.962
553,190.27,31.767
554,179.61,25.964
555,178.3,22.135
556,177.46,21.569
557,177.61,27.777
558,190.0,46.221
559,224.83,78.257
560,265.0,115.077
561,300.02,140.508
562,297.84,134.358
563,210.0,100.527
564,203.0,70.978
565,189.0,51.729
566,178.17,45.399
567,181.68,56.459
568,210.0,86.732
569,273.57,127.841
570,304.04,159.261
571,341.85,170.773
572,315.31,161.52
573,274.98,132.117
574,250.0,101.546
575,228.8,77.715
576,208.93,63.044
577,220.27,57.096
578,212.9,51.383
579,203.75,44.797
580,196.24,41.955
581,198.89,50.64
582,215.01,77.126
583,268.0,120.147
584,340.68,160.529
585,325.72,171.16
586,300.0,149.288
587,224.0,109.451
588,210.43,79.629
589,205.54,65.081
590,202.01,64.598
591,210.33,80.16
592,234.03,113.89
593,303.79,160.809
594,349.27,198.809
595,357.91,211.494
596,347.27,195.659
597,306.79,157.246
598,262.03,116.535
599,238.82,87.562
600,215.0,74.068
601,244.86,75.257
602,235.0,75.477
603,231.86,73.117
604,228.0,70.525
605,225.01,73.234
606,233.16,88.685
607,264.79,120.538
608,309.89,161.364
609,361.92,192.424
610,344.28,187.945
611,283.45,154.607
612,239.04,118.388
613,230.99,97.066
614,225.99,92.03
615,238.0,101.553
616,259.36,120.825
617,274.28,144.444
618,301.48,168.503
619,343.0,181.89
620,313.79,169.428
621,291.63,140.011
622,251.77,109.85
623,242.77,91.219
624,238.7,82.745
625,238.4,79.049
626,231.45,75.142
627,229.0,70.771
628,223.08,67.374
629,221.36,70.005
630,230.0,84.807
631,260.01,114.661
632,300.0,153.028
633,353.56,184.1
634,327.04,184.428
635,294.94,163.927
636,265.11,139.03
637,257.57,121.088
638,245.0,111.441
639,247.0,111.812
640,255.0,121.39
641,266.16,138.46
642,295.8,158.819
643,321.0,169.87
644,308.03,159.905
645,285.11,132.249
646,240.16,102.258
647,239.0,83.533
648,223.62,72.963
649,232.13,68.286
650,220.0,63.283
651,216.95,59.177
652,217.26,57.505
653,214.81,61.176
654,220.73,76.454
655,253.9,106.833
656,305.58,143.682
657,327.68,169.036
658,310.0,170.425
659,293.08,156.145
660,270.0,136.185
661,256.79,119.589
662,246.02,111.335
663,242.91,115.72
664,272.64,133.846
665,290.0,156.126
666,317.91,173.883
667,330.0,174.436
668,300.63,151.251
669,250.0,115.476
670,242.74,89.76
671,232.13,74.874
672,217.99,68.165
673,231.7,67.837
674,224.83,65.515
675,216.53,60.923
676,212.62,57.331
677,212.0,57.851
678,215.13,65.118
679,234.05,80.148
680,248.39,98.204
681,267.88,112.684
682,250.12,111.404
683,236.02,100.132
684,220.87,86.106
685,210.54,75.204
686,210.54,70.826
687,206.99,74.461
688,223.2,90.066
689,243.0,116.881
690,285.0,150.034
691,330.04,173.529
692,331.0,169.088
693,280.0,137.698
694,249.1,105.014
695,233.66,83.226
696,227.12,72.843
697,227.12,69.041
698,220.58,65.509
699,216.0,61.074
700,207.63,56.697
701,206.5,55.327
702,211.34,57.909
703,214.0,63.624
704,223.0,72.144
705,218.0,80.58
706,223.62,83.964
707,215.82,80.327
708,206.0,72.944
709,200.0,66.163
710,195.14,62.971
711,197.94,65.777
712,209.03,74.738
713,220.0,87.762
714,229.0,102.629
715,261.5,114.943
716,263.39,112.26
717,234.05,94.275
718,224.9,77.4
719,221.26,64.88
720,203.38,54.526
721,208.74,47.59
722,199.88,41.238
723,193.43,36.338
724,193.21,34.953
725,194.0,38.786
726,200.95,50.349
727,228.0,69.919
728,243.4,90.924
729,259.72,107.424
730,253.9,108.505
731,233.03,96.621
732,222.23,80.692
733,197.98,67.119
734,197.98,64.913
735,211.78,75.016
736,231.81,92.51
737,253.9,110.312
738,259.11,121.712
739,270.0,124.66
740,260.0,115.574
741,252.22,97.286
742,228.0,78.122
743,222.99,63.897
744,204.8,52.851
745,208.4,44.869
746,189.87,34.336
747,179.26,24.298
748,174.04,18.465
749,169.0,20.642
750,181.62,35.338
751,212.29,60.553
752,250.26,85.7
753,245.0,97.059
754,230.0,90.603
755,209.0,73.895
756,181.92,57.552
757,193.86,50.945
758,181.92,51.464
759,193.8,63.069
760,222.81,83.825
761,235.0,106.182
762,276.11,125.229
763,266.26,128.522
764,264.26,118.152
765,238.69,97.599
766,230.0,80.104
767,228.11,65.128
768,206.63,47.163
769,177.34,28.81
770,171.54,17.269
771,168.39,13.162
772,168.39,16.266
773,185.52,26.479
774,194.92,40.709
775,203.53,59.796
776,235.7,83.679
777,260.1,100.922
778,240.0,96.995
779,206.89,79.96
780,197.83,64.29
781,190.1,54.801
782,188.99,53.256
783,194.19,60.13
784,208.1,75.041
785,229.2,95.075
786,252.1,113.791
787,266.9,122.279
788,265.0,113.348
789,237.0,87.842
790,205.01,61.662
791,198.66,44.759
792,190.1,35.321
793,188.96,30.322
794,181.56,26.409
795,181.56,23.689
796,177.43,22.248
797,178.99,24.866
798,184.39,34.334
799,198.28,52.393
800,232.74,75.664
801,246.0,91.482
802,231.79,89.083
803,201.94,75.572
804,199.0,64.104
805,195.22,57.551
806,192.68,57.029
807,198.28,64.669
808,209.67,81.602
809,239.91,105.917
810,274.99,127.116
811,275.56,132.045
812,265.0,118.768
813,240.0,92.211
814,212.67,66.882
815,204.88,49.9
816,194.74,39.002
817,189.1,31.726
818,181.32,26.18
819,179.34,23.01
820,179.34,23.172
821,181.2,29.121
822,190.4,44.65
823,220.0,70.796
824,250.26,99.517
825,288.18,117.144
826,243.14,105.919
827,203.0,82.807
828,200.57,65.689
829,193.99,56.323
830,190.34,55.041
831,197.79,63.531
832,209.66,82.47
833,242.14,110.485
834,279.0,137.081
835,302.59,147.109
836,280.0,131.026
837,240.0,97.528
838,211.74,67.976
839,204.74,51.368
840,193.99,45.636
841,214.56,47.253
842,206.89,46.212
843,199.61,42.631
844,196.94,40.121
845,199.61,42.084
846,206.89,51.559
847,215.86,71.926
848,247.48,104.711
849,298.25,138.188
850,310.0,146.216
851,260.0,124.054
852,216.69,92.077
853,202.65,67.944
854,193.36,55.265
855,190.25,53.69
856,202.39,62.299
857,208.56,78.071
858,235.0,99.409
859,262.58,116.544
860,279.04,116.632
861,247.87,94.201
862,208.56,67.524
863,208.3,51.357
864,193.77,44.305
865,208.56,44.734
866,202.81,43.286
867,192.39,39.369
868,190.87,36.845
869,190.87,37.536
870,196.0,42.222
871,206.89,49.954
872,208.56,58.496
873,210.0,67.481
874,208.65,71.543
875,206.89,71.294
876,208.0,67.904
877,198.82,61.599
878,189.37,56.157
879,190.33,56.033
880,197.12,62.351
881,208.3,73.991
882,216.33,88.057
883,250.0,99.415
884,247.53,94.664
885,216.33,74.444
886,204.62,55.716
887,198.9,42.261
888,186.8,31.702
889,178.0,23.232
890,172.0,16.08
891,168.74,10.061
892,154.94,6.729
893,162.45,12.134
894,176.0,26.357
895,201.12,45.614
896,220.61,61.581
897,211.0,67.259
898,200.23,60.496
899,175.27,47.222
900,170.0,37.44
901,170.0,33.543
902,170.0,34.821
903,175.27,41.363
904,184.42,52.773
905,205.55,66.906
906,216.1,77.601
907,217.33,81.68
908,220.69,78.805
909,218.38,68.629
910,210.77,57.027
911,201.3,45.447
912,184.42,34.896
913,184.0,28.052
914,179.88,22.938
915,174.68,19.052
916,170.88,18.357
917,177.88,23.974
918,183.62,37.071
919,206.0,58.252
920,240.11,80.195
921,244.32,88.85
922,217.95,75.611
923,171.91,51.39
924,166.0,33.486
925,166.0,23.763
926,148.23,20.649
927,166.0,28.856
928,177.43,44.722
929,202.0,65.781
930,219.74,86.318
931,243.8,100.889
932,249.49,101.514
933,239.01,87.178
934,214.5,68.885
935,208.28,54.997
936,200.57,45.022
937,195.0,37.273
938,187.38,31.14
939,185.0,27.385
940,183.85,26.663
941,185.0,30.888
942,191.07,42.811
943,218.0,62.944
944,237.91,83.706
945,255.0,96.218
946,227.93,89.456
947,207.07,73.347
948,190.04,58.462
949,189.2,51.261
950,189.2,51.956
951,197.57,60.862
952,212.0,77.712
953,233.41,101.113
954,261.34,126.131
955,307.25,142.3
956,301.69,136.529
957,246.0,107.051
958,224.54,79.428
959,217.74,61.819
960,208.3,51.142
961,200.99,43.887
962,192.61,37.348
963,185.1,32.423
964,184.27,31.775
965,188.08,37.244
966,202.0,49.667
967,214.2,67.218
968,238.52,86.909
969,255.0,99.231
970,230.16,92.793
971,203.0,76.991
972,197.53,63.616
973,189.71,55.487
974,186.0,54.361
975,196.78,61.239
976,205.92,73.786
977,224.69,90.229
978,236.34,105.951
979,261.7,115.821
980,258.09,110.119
981,235.01,90.026
