Hour ID,Year,Quarter,Month,Day,Hour,Original Price,New Price
1,2024,1,1,1,1,23.8,108.034
2,2024,1,1,1,2,19.67,104.471
3,2024,1,1,1,3,16.39,101.994
4,2024,1,1,1,4,15.42,102.206
5,2024,1,1,1,5,18.15,106.429
6,2024,1,1,1,6,29.98,114.517
7,2024,1,1,1,7,37.51,123.367
8,2024,1,1,1,8,49.39,130.656
9,2024,1,1,1,9,49.02,133.529
10,2024,1,1,1,10,47.1,133.181
11,2024,1,1,1,11,45.3,131.62
12,2024,1,1,1,12,44.5,130.09
13,2024,1,1,1,13,44.0,128.838
14,2024,1,1,1,14,42.49,127.842
15,2024,1,1,1,15,41.0,127.559
16,2024,1,1,1,16,42.69,128.415
17,2024,1,1,1,17,44.42,129.598
18,2024,1,1,1,18,46.29,129.891
19,2024,1,1,1,19,41.97,128.219
20,2024,1,1,1,20,40.1,125.223
21,2024,1,1,1,21,36.97,120.619
22,2024,1,1,1,22,28.0,114.317
23,2024,1,1,1,23,24.0,107.901
24,2024,1,1,1,24,13.3,101.955
25,2024,1,1,2,1,13.38,98.485
26,2024,1,1,2,2,10.27,96.162
27,2024,1,1,2,3,7.51,94.857
28,2024,1,1,2,4,5.73,94.857
29,2024,1,1,2,5,7.09,96.764
30,2024,1,1,2,6,13.19,102.901
31,2024,1,1,2,7,27.13,112.222
32,2024,1,1,2,8,38.88,120.278
33,2024,1,1,2,9,38.0,123.835
34,2024,1,1,2,10,37.0,124.568
35,2024,1,1,2,11,37.55,124.62
36,2024,1,1,2,12,38.25,124.879
37,2024,1,1,2,13,40.0,125.465
38,2024,1,1,2,14,39.07,126.177
39,2024,1,1,2,15,41.29,127.657
40,2024,1,1,2,16,43.0,129.747
41,2024,1,1,2,17,44.84,132.227
42,2024,1,1,2,18,49.39,134.441
43,2024,1,1,2,19,49.72,134.649
44,2024,1,1,2,20,46.29,132.368
45,2024,1,1,2,21,41.77,128.492
46,2024,1,1,2,22,36.84,124.147
47,2024,1,1,2,23,35.0,120.041
48,2024,1,1,2,24,28.91,115.883
49,2024,1,1,3,1,27.38,112.649
50,2024,1,1,3,2,25.99,110.648
51,2024,1,1,3,3,25.5,109.802
52,2024,1,1,3,4,25.24,110.259
53,2024,1,1,3,5,26.9,112.748
54,2024,1,1,3,6,30.47,117.861
55,2024,1,1,3,7,40.23,125.224
56,2024,1,1,3,8,50.77,131.959
57,2024,1,1,3,9,51.37,135.072
58,2024,1,1,3,10,49.53,135.266
59,2024,1,1,3,11,48.64,134.422
60,2024,1,1,3,12,48.93,133.569
61,2024,1,1,3,13,48.0,132.837
62,2024,1,1,3,14,47.51,132.599
63,2024,1,1,3,15,47.67,133.274
64,2024,1,1,3,16,49.57,135.075
65,2024,1,1,3,17,51.63,137.492
66,2024,1,1,3,18,55.23,139.395
67,2024,1,1,3,19,54.35,138.673
68,2024,1,1,3,20,51.18,133.936
69,2024,1,1,3,21,45.71,124.351
70,2024,1,1,3,22,21.58,111.212
71,2024,1,1,3,23,11.0,102.055
72,2024,1,1,3,24,4.53,99.668
73,2024,1,1,4,1,10.74,100.665
74,2024,1,1,4,2,9.02,100.665
75,2024,1,1,4,3,10.74,100.665
76,2024,1,1,4,4,17.18,103.63
77,2024,1,1,4,5,24.69,110.074
78,2024,1,1,4,6,34.1,118.779
79,2024,1,1,4,7,43.22,127.857
80,2024,1,1,4,8,52.77,135.455
81,2024,1,1,4,9,56.34,139.8
82,2024,1,1,4,10,55.7,141.148
83,2024,1,1,4,11,55.83,141.01
84,2024,1,1,4,12,55.8,140.166
85,2024,1,1,4,13,54.1,138.93
86,2024,1,1,4,14,53.09,137.965
