ID,Date,Nameday,Period,YEAR,MONTH,DAY,INPUT
1,1/1/2024,Monday,1,2024,1,1,78.450
2,1/1/2024,Monday,2,2024,1,1,78.450
3,1/1/2024,Monday,3,2024,1,1,73.070
4,1/1/2024,Monday,4,2024,1,1,65.620
5,1/1/2024,Monday,5,2024,1,1,64.560
6,1/1/2024,Monday,6,2024,1,1,64.490
7,1/1/2024,Monday,7,2024,1,1,65.200
8,1/1/2024,Monday,8,2024,1,1,71.030
9,1/1/2024,Monday,9,2024,1,1,65.000
10,1/1/2024,Monday,10,2024,1,1,68.020
11,1/1/2024,Monday,11,2024,1,1,67.630
12,1/1/2024,Monday,12,2024,1,1,69.360
13,1/1/2024,Monday,13,2024,1,1,70.000
14,1/1/2024,Monday,14,2024,1,1,66.300
15,1/1/2024,Monday,15,2024,1,1,70.000
16,1/1/2024,Monday,16,2024,1,1,75.140
17,1/1/2024,Monday,17,2024,1,1,77.010
18,1/1/2024,Monday,18,2024,1,1,77.010
19,1/1/2024,Monday,19,2024,1,1,76.820
20,1/1/2024,Monday,20,2024,1,1,77.010
21,1/1/2024,Monday,21,2024,1,1,77.350
22,1/1/2024,Monday,22,2024,1,1,77.120
23,1/1/2024,Monday,23,2024,1,1,77.010
24,1/1/2024,Monday,24,2024,1,1,72.000
25,1/2/2024,Tuesday,1,2024,1,2,66.020
26,1/2/2024,Tuesday,2,2024,1,2,77.010
27,1/2/2024,Tuesday,3,2024,1,2,72.360
28,1/2/2024,Tuesday,4,2024,1,2,69.120
29,1/2/2024,Tuesday,5,2024,1,2,67.450
30,1/2/2024,Tuesday,6,2024,1,2,66.120
31,1/2/2024,Tuesday,7,2024,1,2,68.000
32,1/2/2024,Tuesday,8,2024,1,2,72.030
33,1/2/2024,Tuesday,9,2024,1,2,68.600
34,1/2/2024,Tuesday,10,2024,1,2,75.000
35,1/2/2024,Tuesday,11,2024,1,2,72.030
36,1/2/2024,Tuesday,12,2024,1,2,65.560
37,1/2/2024,Tuesday,13,2024,1,2,65.550
38,1/2/2024,Tuesday,14,2024,1,2,65.280
39,1/2/2024,Tuesday,15,2024,1,2,68.600
40,1/2/2024,Tuesday,16,2024,1,2,74.480
41,1/2/2024,Tuesday,17,2024,1,2,75.000
42,1/2/2024,Tuesday,18,2024,1,2,75.470
43,1/2/2024,Tuesday,19,2024,1,2,75.370
44,1/2/2024,Tuesday,20,2024,1,2,75.470
